PRG,County,Use,Address,City,State,TAX ID ,Tax ID ,Map/ Grid/ Parcel,Legal Desc.,Grantor,Grantee,Sale Date,Deed,Property Rights,Conditions at Sale,Time on Market,Sale Price,Price/GBA,Vacancy,NOI,CAP RATE,LAND SIZE (SF),GBA (SF),YEAR BUILT,Parking,Zone,Utilities,APT ONLY,APT ONLY,APT ONLY,APT ONLY,Comments
01-2001-80000-001,Allegany,Church,marsh Pike,Cumberland,MD,6,104619 & 007988,106/ 5/ 7355 & 7133,S/S Fayette St Cumber-Johnson-Smallwood,Our Lady of the Mountains Roman Catholic Congregations Inc,"Freas Properties, Inc",Pending,Pending,Leased-Fee,Arms-Length,Unknown,"$600,000.00 ",$40.80 ,0.00%,Unknown,Unknown,"85,203","14,708",1900,Onsite parking available,R-O,All available,,,,,"The subject property Parrish Hall (located on 120 Fayette Street) contains approximately 4,904 square feet of gross building area built in 1900. The subject property Dormitory (located on 125 Fayette Street) contains approximately 9,804 square feet of gross building area. The property is in fair condition with high deferred maintenance of cosmetic throughout."
01-2001-80000-002,Allegany,Church,15003 Wyoming Avenue,Cresaptown,MD,7,78376,5C/ 21/ 7,,Chesapeake District of the Wesleyan Church,New Day Church,6/21/2018,2397/ 310,Fee Simple,Arms-Length,Unknown,"$350,000.00 ",$32.95 ,0.00%,Unknown,Unknown,"289,964","10,622",1965,Onsite parking available,R1,All available,,,,,"Building originally constructed in 1965 and operated as a church 1965 and operated as a church facility containing large meeting room, sanctuary, classrooms, garage, and residential house. According to the broker, the building was in fair condition at the time of sale and could be immediately used as a church."
01-2001-40000-001,Allegany,Professional Office,11 Prospect Square,Cumberland,MD,6,3516,106/ 71103,Prospect Square 80X52,Luxery Leasing Inc,"Crusader Properties, LLC and Viney Hill Properties, LLC",3/27/2019,2455/ 98,Fee Simple,Arms-Length,Unknown,"$190,000.00 ",$92.46 ,Unknown,Unknown,Unknown,"3,126","2,055",1926,Onsite parking available,RO,All available,,,,,Building originally constructed in 1926 and operated as an office building. Property was well maintained.
01-2001-20000-001,Allegany,Special Purpose,14500-14510 Pine Ridge Road,Cumberland,MD,34,5429,5/ 9/ 414,NR PA Line,Granet,Fiorentino,9/15/2017,18869/ 509,Fee Simple,Arms-Length,Unknown,"$604,000.00 ",$147.46 ,0.00%,Unknown,Unknown,"1,444,885","4,096",1947,Onsite parking available,A,All available,,,,,Property includes manor house used as a four-bedroom house for wedding party and rehearsal dinners.  There is a concrete patio that can seat up to 250 people.  
01-2007-50000-002,Carroll,Warehouse/ Flex,5340 Enterprise Street,Sykesville,MD,14,40102,68/ 13/ 470,,Sykesville Enterprises LLC,Paramount Ventures LLC,10/15/2018,6133/ 84,Fee Simple,Arms-Length,287,"$900,000.00 ",$111.22 ,0.00%,Unknown,Unknown,"43,996","8,092",1989,Onsite parking available,IR,All available,,,,,"The subject property is improved with two separate buildings originally constructed in 1989. The primary building is a two-story office building containing approximately 2,932 square feet of gross building area or 36% of building footprint. The second improvement is a single-story warehouse and showroom building containing approximately 5,160 square feet of gross building area. Overall, the buildings are in above average condition for flex: office and warehouse use. The roof, exterior, and solar panels have been recently installed/replaced."
01-2007-30000-001,Carroll ,Retail,226 East Baltimore Street,Taneytown,MD,1,26585,302/ 14/ 1981,226 E Baltimore St 27-34,Blain-Mar Inc,South Realty LLC,10/4/2019,27/34,Fee Simple,Arms-Length,Unknown,"$465,000.00 ",$188.72 ,0.00%,Unknown,Unknown,"45,437","2,464",1986,Onsite parking available,DB,All available,,,,,"The site is improved with a one-story retail building that has approximately 2,464 square feet of gross building area.  The previous occupant operated a Sheetz Convenience Store/Gas Station under a ground lease from 1986 until late 2015 from this location.  Current owner has plans to renovate the building to operate an alcoholic beverage package store.  The total project costs for the renovations provided to me the by the prospective subject property owner is $238,500.  The estimates do not include contingency or profit which we estimate at 17% and are consistent with the market.  "
01-2007-20000-001,Carroll ,Special Purpose,120 Water Street,New Windsor,MD,11,2803,700/ 9/ 438,New Windsor,Samuel Pierce,The Church at Severn Run,9/27/2019,9426/ 434,Fee Simple,Arms-Length,Unknown,"$395,000.00 ",$74.75 ,0.00%,Unknown,Unknown,"38,332","5,284",1900,Onsite parking available,VC,All available,,,,,"Property improved with a two-story special purpose building that was originally constructed as a residence with a total gross building area of 5,284 square feet.  Additional improvements include a detached three car garage, asphalt-paved parking areas and driveways, and landscaping.  New owners plan on using the property for a retreat facility."
01-2007-20000-002,Carroll ,Special Purpose,6000 Middleburg Road,Middleburg,MD,10,3431,35/ 11/ 131,,Eggs 1 Corporation LLC,Bertand and Deborah Newcomer,3/7/2019,9237/ 38,Fee Simple,Arms-Length,Unknown,"$825,000.00 ",$68.53 ,0.00%,Unknown,Unknown,"382,357","12,038",2002,Onsite parking available,AG,All available,,,,,"Property improved with special purpose building with a total gross building area of 12,038 and originally constructed in 1880 with renovations in 2002.  Property was previously used as a Bed and Breakfast and wedding venue.  Includes a banquet room, rooftop deck and commercial kitchen."
01-2007-VAC-001,Carroll ,Vacant Land,5825 Oklahoma Road,Sykesburg,MD,5,92,74/ 2/ 5,"Lot 15, E of Oakland",Adams Trustee,Snowden Creek LLC,3/27/2018,8973/ 301,Fee Simple,Arms-Length,Unknown,"$915,000.00 ",,,,,"663,985",,,N,"RC, R-10,000",All available,,,,,"Purchaser constructed a 109-unit residential apartment unit, which is currently under construction.  Contract was originally signed in 2010 and took eight years to receive entitlements and complete the sales transaction.  "
01-2007-VAC-002,Carroll ,Vacant Land,Lot 18 Back Acre Circle,Mt Airy,MD,13,431790,75/ 12/ 327,Twin Arch Business Park,Pending,Pending,Pending,Pending,Fee Simple,Arms-Length,Unknown,"$1,000,000.00 ",,,,,"115,534",,,Onsite parking available,I,All available,,,,,"Current owner has plans to modify the site to support the construction and ultimate operation of an office/warehouse flex building that will have approximately 13,380 square feet of gross building area.  The site plan calls for two vehicle access points, each a 30-foot curb cut, a truck loading area on the east side of the proposed building, and vehicle parking area on the west and east side of the proposed building.  Once complete, the site will include 48 vehicle spaces – 16 car spaces (two of which are handicapped accessible) and 32 truck parking spaces.  The proposed building will include a total of 3,150 square feet of office space and 10,230 square feet of warehouse space.  This building will be used for both office and truck vehicle repair.  The building will have a concrete slab foundation, steel frame, and metal clad roof and exterior walls.  "
